,Date,Product,Sales,Production,Factory_Issue,Delivery,Group,Sub-Group,holiday_type,holiday_name,Station,Rainfall,Sunshine,Humidity,Temperature,category,scope_or_location,typical_rain_mm,BDT_USD
31,2023-02-01,AT5X5K,180.4,700,1450.0,1593.0,A,AT,,,Dhaka,0.0,0.3,61.0,22.3,no_event,,,104.4242
32,2023-02-02,AT5X5K,307.0,2000,60.0,197.0,A,AT,,,Dhaka,0.0,7.6,61.0,20.0,no_event,,,105.7029
33,2023-02-03,AT5X5K,0.0,2000,330.0,221.0,A,AT,,,Dhaka,0.0,7.4,67.0,20.7,no_event,,,105.7011
34,2023-02-04,AT5X5K,220.0,500,230.0,195.4,A,AT,,,Dhaka,0.0,7.4,66.0,20.6,no_event,,,106.6861
35,2023-02-05,AT5X5K,732.0,500,340.0,445.0,A,AT,,,Dhaka,0.0,8.3,60.0,20.9,no_event,,,
36,2023-02-06,AT5X5K,1440.0,500,1060.0,913.0,A,AT,,,Dhaka,0.0,7.1,65.0,20.5,no_event,,,105.003
37,2023-02-07,AT5X5K,1082.0,0,1290.0,1370.0,A,AT,,,Dhaka,0.0,6.8,70.0,22.1,no_event,,,105.0066
38,2023-02-08,AT5X5K,569.0,0,1373.0,742.0,A,AT,,,Dhaka,0.0,6.0,73.0,22.7,no_event,,,104.7279
39,2023-02-09,AT5X5K,1862.0,0,550.0,945.0,A,AT,,,Dhaka,0.0,2.8,73.0,23.3,no_event,,,102.9202
40,2023-02-10,AT5X5K,0.0,1000,1650.0,843.0,A,AT,,,Dhaka,0.0,7.3,55.0,22.3,no_event,,,103.0177
41,2023-02-11,AT5X5K,1475.0,1000,730.0,1170.0,A,AT,,,Dhaka,0.0,7.7,59.0,23.9,no_event,,,102.959
42,2023-02-12,AT5X5K,1528.0,1000,1675.0,1518.0,A,AT,,,Dhaka,0.0,4.0,63.0,24.2,no_event,,,
43,2023-02-13,AT5X5K,1765.0,2000,650.0,735.0,A,AT,,,Dhaka,0.0,8.2,32.0,21.9,no_event,,,105.2238
44,2023-02-14,AT5X5K,3623.0,1500,1303.0,1401.0,A,AT,,,Dhaka,0.0,8.0,40.0,21.1,cultural_event,Urban centres (esp. Dhaka),28.9,105.4528
45,2023-02-15,AT5X5K,1213.2,1500,1726.0,1693.0,A,AT,,,Dhaka,0.0,7.9,52.0,21.3,no_event,,,104.8122
46,2023-02-16,AT5X5K,334.8,2500,1860.0,1869.0,A,AT,,,Dhaka,0.0,7.1,58.0,21.9,no_event,,,104.1147
47,2023-02-17,AT5X5K,0.0,2500,750.0,582.0,A,AT,,,Dhaka,0.0,4.9,61.0,22.3,no_event,,,104.1364
48,2023-02-18,AT5X5K,11.0,1000,780.0,906.0,A,AT,,,Dhaka,0.0,6.4,68.0,24.0,no_event,,,103.1758
49,2023-02-19,AT5X5K,1097.0,1000,0.0,379.0,A,AT,,,Dhaka,0.0,3.0,72.0,24.5,no_event,,,103.519
50,2023-02-20,AT5X5K,2253.0,1000,920.0,1234.0,A,AT,,,Dhaka,0.0,3.2,71.0,24.9,no_event,,,104.5368
51,2023-02-21,AT5X5K,0.0,0,960.0,1058.0,A,AT,National Holiday,Language Martyrs' Day,Dhaka,0.0,3.5,75.0,25.4,national_holiday,Nationwide,28.9,104.592
52,2023-02-22,AT5X5K,2434.0,1000,470.0,892.0,A,AT,,,Dhaka,0.0,4.4,74.0,26.2,no_event,,,105.3988
53,2023-02-23,AT5X5K,365.0,1000,1190.0,978.0,A,AT,,,Dhaka,0.0,6.1,67.0,26.8,no_event,,,105.3522
54,2023-02-24,AT5X5K,0.0,1500,298.0,395.0,A,AT,,,Dhaka,0.0,6.6,71.0,26.4,no_event,,,105.4075
55,2023-02-25,AT5X5K,8.0,1000,450.0,582.0,A,AT,,,Dhaka,2.0,7.6,55.0,25.3,no_event,,,105.3079
56,2023-02-26,AT5X5K,924.0,1000,1010.0,1100.0,A,AT,,,Dhaka,0.0,8.2,53.0,25.3,no_event,,,
57,2023-02-27,AT5X5K,858.0,500,820.0,782.0,A,AT,,,Dhaka,0.0,6.7,56.0,26.4,no_event,,,104.9433
58,2023-02-28,AT5X5K,839.0,0,669.0,680.0,A,AT,,,Dhaka,0.0,7.8,46.0,25.9,no_event,,,102.7854
59,2023-03-01,AT5X5K,147.8,0,773.0,913.0,A,AT,,,Dhaka,0.0,7.7,50.0,26.0,no_event,,,102.7753
60,2023-03-02,AT5X5K,2989.0,0,350.0,248.8,A,AT,,,Dhaka,0.0,6.3,56.0,26.7,no_event,,,105.3213
61,2023-03-03,AT5X5K,0.0,0,670.0,423.0,A,AT,,,Dhaka,0.0,7.6,53.0,26.8,no_event,,,105.3315
62,2023-03-04,AT5X5K,35.0,0,500.0,631.0,A,AT,,,Dhaka,0.0,6.8,55.0,27.1,no_event,,,
63,2023-03-05,AT5X5K,1567.0,0,10.0,162.0,A,AT,,,Dhaka,0.0,4.8,56.0,27.2,no_event,,,
64,2023-03-06,AT5X5K,440.0,0,1660.0,1883.0,A,AT,,,Dhaka,0.0,8.2,52.0,27.1,no_event,,,103.2422
65,2023-03-07,AT5X5K,369.0,400,770.0,862.0,A,AT,,,Dhaka,0.0,7.8,46.0,27.3,no_event,,,103.5735
66,2023-03-08,AT5X5K,0.0,0,110.0,244.0,A,AT,National Holiday,Shab e-barat,Dhaka,0.0,10.5,48.0,27.5,religious_holiday,Nationwide,65.8,103.5489
67,2023-03-09,AT5X5K,1276.0,725,360.0,350.0,A,AT,,,Dhaka,0.0,7.1,48.0,27.6,no_event,,,103.758
68,2023-03-10,AT5X5K,0.0,500,225.0,355.0,A,AT,,,Dhaka,0.0,0.6,48.0,27.6,no_event,,,103.18
69,2023-03-11,AT5X5K,186.8,0,525.0,568.0,A,AT,,,Dhaka,0.0,4.1,54.0,27.4,no_event,,,103.2091
70,2023-03-12,AT5X5K,690.0,500,152.0,438.0,A,AT,,,Dhaka,0.0,8.3,48.0,28.4,no_event,,,
71,2023-03-13,AT5X5K,325.0,0,581.0,622.8,A,AT,,,Dhaka,0.0,8.7,48.0,28.2,no_event,,,103.8771
72,2023-03-14,AT5X5K,403.0,0,370.0,597.0,A,AT,,,Dhaka,0.0,3.7,51.0,28.6,no_event,,,103.8633
73,2023-03-15,AT5X5K,50.0,500,340.0,477.0,A,AT,,,Dhaka,0.0,2.3,67.0,27.2,no_event,,,103.8717
74,2023-03-16,AT5X5K,127.4,500,0.0,125.0,A,AT,,,Dhaka,2.0,3.0,68.0,27.7,no_event,,,105.5916
75,2023-03-17,AT5X5K,0.0,300,90.0,128.4,A,AT,National Holiday,Sheikh Mujibur Rahman's birthday,Dhaka,1.0,0.5,68.0,24.9,national_holiday,Nationwide,65.8,105.1719
76,2023-03-18,AT5X5K,10.0,0,960.0,1024.0,A,AT,,,Dhaka,0.0,4.3,57.0,27.1,no_event,,,104.0768
77,2023-03-19,AT5X5K,249.0,0,70.0,80.0,A,AT,,,Dhaka,0.0,0.0,87.0,22.8,no_event,,,
78,2023-03-20,AT5X5K,140.0,0,0.0,199.0,A,AT,,,Dhaka,18.0,3.3,73.0,24.2,no_event,,,103.6037
79,2023-03-21,AT5X5K,182.0,0,100.0,35.0,A,AT,,,Dhaka,0.0,5.7,71.0,24.6,no_event,,,105.3344
80,2023-03-22,AT5X5K,577.0,0,205.0,105.0,A,AT,,,Dhaka,0.0,9.0,67.0,26.0,no_event,,,103.4488
81,2023-03-23,AT5X5K,70.0,0,540.0,553.0,A,AT,,,Dhaka,0.0,7.8,65.0,26.7,religious_period,Nationwide,65.8,103.3273
82,2023-03-24,AT5X5K,0.0,700,50.0,28.0,A,AT,,,Dhaka,0.0,7.5,74.0,25.3,no_event,,,103.5196
83,2023-03-25,AT5X5K,30.0,500,510.0,716.0,A,AT,,,Dhaka,19.0,5.4,77.0,25.9,no_event,,,
84,2023-03-26,AT5X5K,0.0,0,25.0,43.0,A,AT,National Holiday,Independence Day,Dhaka,2.0,6.8,70.0,27.0,national_holiday,Nationwide,65.8,
85,2023-03-27,AT5X5K,257.0,0,0.0,150.0,A,AT,,,Dhaka,0.0,7.6,62.0,27.4,no_event,,,103.3791
86,2023-03-28,AT5X5K,190.0,0,45.0,70.0,A,AT,,,Dhaka,0.0,7.3,62.0,28.4,no_event,,,105.8794
87,2023-03-29,AT5X5K,88.0,0,265.0,97.0,A,AT,,,Dhaka,0.0,2.6,78.0,25.2,no_event,,,105.174
88,2023-03-30,AT5X5K,86.2,0,0.0,110.0,A,AT,,,Dhaka,4.0,6.1,70.0,26.3,no_event,,,105.6125
89,2023-03-31,AT5X5K,0.0,0,20.0,196.0,A,AT,,,Dhaka,28.0,4.7,71.0,25.8,no_event,,,105.3651
90,2023-04-01,AT5X5K,440.0,0,0.0,3.0,A,AT,,,Dhaka,15.0,2.7,78.0,24.4,no_event,,,
91,2023-04-02,AT5X5K,149.0,0,460.0,498.0,A,AT,,,Dhaka,1.0,9.1,68.0,26.8,no_event,,,
92,2023-04-03,AT5X5K,3573.0,0,20.0,92.0,A,AT,,,Dhaka,0.0,9.1,54.0,28.2,no_event,,,103.686
93,2023-04-04,AT5X5K,1386.0,1200,1190.0,1135.2,A,AT,,,Dhaka,0.0,7.3,65.0,29.9,no_event,,,104.0171
94,2023-04-05,AT5X5K,185.0,1000,1255.0,1286.0,A,AT,,,Dhaka,0.0,6.4,70.0,29.5,no_event,,,105.8737
95,2023-04-06,AT5X5K,716.0,2000,170.0,266.0,A,AT,,,Dhaka,0.0,8.7,54.0,29.3,no_event,,,104.1121
96,2023-04-07,AT5X5K,0.0,1000,30.0,58.0,A,AT,,,Dhaka,0.0,9.5,50.0,29.4,no_event,,,104.2264
97,2023-04-08,AT5X5K,25.0,500,1230.0,1203.76,A,AT,,,Dhaka,0.0,9.1,42.0,30.4,no_event,,,103.4872
98,2023-04-09,AT5X5K,1105.4,500,55.0,140.0,A,AT,,,Dhaka,0.0,9.2,38.0,30.8,no_event,,,
99,2023-04-10,AT5X5K,975.0,1000,1730.0,1475.0,A,AT,,,Dhaka,0.0,8.6,41.0,30.5,no_event,,,104.3286
100,2023-04-11,AT5X5K,1567.0,500,740.0,721.0,A,AT,,,Dhaka,0.0,8.7,41.0,31.3,no_event,,,104.7271
101,2023-04-12,AT5X5K,1114.0,2000,1507.0,1394.0,A,AT,,,Dhaka,0.0,9.2,39.0,31.8,no_event,,,104.7433
102,2023-04-13,AT5X5K,1573.0,1000,1320.0,816.0,A,AT,,,Dhaka,0.0,9.1,37.0,32.7,no_event,,,104.7682
103,2023-04-14,AT5X5K,0.0,1000,1257.0,1566.0,A,AT,National Holiday,Bengali New Year,Dhaka,0.0,9.2,43.0,33.1,cultural_holiday,Nationwide (strongest in cities),156.0,104.8697
104,2023-04-15,AT5X5K,285.0,500,590.0,484.0,A,AT,,,Dhaka,0.0,6.5,50.0,34.0,no_event,,,104.3541
105,2023-04-16,AT5X5K,4039.0,500,1060.0,1010.0,A,AT,,,Dhaka,0.0,8.1,47.0,34.0,no_event,,,
106,2023-04-17,AT5X5K,2169.0,2000,2367.0,2380.8,A,AT,,,Dhaka,0.0,6.0,67.0,32.4,no_event,,,104.7094
107,2023-04-18,AT5X5K,2811.0,2500,1335.0,1690.0,A,AT,,,Dhaka,0.0,7.4,66.0,32.4,no_event,,,104.5869
108,2023-04-19,AT5X5K,630.0,3000,2531.0,2145.0,A,AT,National Holiday,Shab-e-Qadr,Dhaka,0.0,8.1,68.0,32.2,religious_holiday,Nationwide,156.0,104.5578
109,2023-04-20,AT5X5K,105.0,2500,1310.0,1371.0,A,AT,National Holiday,Eid al-Fitr,Dhaka,0.0,7.9,68.0,32.1,no_event,,,104.5134
110,2023-04-21,AT5X5K,0.0,0,0.0,98.0,A,AT,National Holiday,Jumatul Bidah,Dhaka,0.0,8.9,64.0,29.8,religious_holiday,Nationwide,156.0,104.461
111,2023-04-22,AT5X5K,0.0,0,0.0,0.0,A,AT,National Holiday,Eid al-Fitr,Dhaka,0.0,5.6,60.0,29.5,religious_holiday,Nationwide,156.0,
112,2023-04-23,AT5X5K,0.0,0,0.0,0.0,A,AT,National Holiday,Eid al-Fitr,Dhaka,1.0,0.0,62.0,26.3,religious_holiday,Nationwide,156.0,
113,2023-04-24,AT5X5K,0.0,0,0.0,0.0,A,AT,,,Dhaka,0.0,8.5,56.0,28.1,no_event,,,104.1944
114,2023-04-25,AT5X5K,655.0,0,1072.0,1078.2,A,AT,,,Dhaka,0.0,9.5,49.0,30.2,no_event,,,105.9155
115,2023-04-26,AT5X5K,1671.0,800,685.0,1007.8,A,AT,,,Dhaka,0.0,9.4,43.0,31.4,no_event,,,104.5985
116,2023-04-27,AT5X5K,1940.0,2000,1774.0,1009.0,A,AT,,,Dhaka,0.0,8.5,59.0,28.7,no_event,,,104.516
117,2023-04-28,AT5X5K,0.0,1500,2257.0,2285.0,A,AT,,,Dhaka,3.0,10.5,59.0,29.5,no_event,,,104.509
118,2023-04-29,AT5X5K,481.0,500,935.0,1173.0,A,AT,,,Dhaka,0.0,8.4,68.0,27.9,no_event,,,103.14
119,2023-04-30,AT5X5K,1888.0,1000,1076.0,1264.2,A,AT,,,Dhaka,10.0,7.7,59.0,29.2,no_event,,,
120,2023-05-01,AT5X5K,0.0,0,1045.0,935.0,A,AT,National Holiday,Labour Day,Dhaka,2.0,4.6,61.0,28.3,national_holiday,Nationwide,339.0,104.3063
121,2023-05-02,AT5X5K,3075.0,1000,150.0,156.0,A,AT,,,Dhaka,0.0,9.0,52.0,30.1,no_event,,,104.323
122,2023-05-03,AT5X5K,4517.8,2500,3135.0,2830.0,A,AT,,,Dhaka,0.0,3.8,72.0,28.1,no_event,,,104.8525
123,2023-05-04,AT5X5K,801.0,3000,1765.0,1945.0,A,AT,National Holiday,Buddha Purnima,Dhaka,7.0,2.0,73.0,28.4,religious_holiday,Nationwide (strongest in Buddhist communities),339.0,104.8293
124,2023-05-05,AT5X5K,0.0,1000,1655.0,1531.0,A,AT,,,Dhaka,1.0,8.9,67.0,29.9,no_event,,,104.8531
125,2023-05-06,AT5X5K,50.0,2000,1090.0,1037.0,A,AT,,,Dhaka,0.0,7.3,64.0,30.4,no_event,,,
126,2023-05-07,AT5X5K,4040.0,1600,545.0,821.0,A,AT,,,Dhaka,12.0,9.6,59.0,32.5,no_event,,,
127,2023-05-08,AT5X5K,3157.0,2500,1601.0,1927.0,A,AT,,,Dhaka,0.0,9.8,57.0,33.1,no_event,,,105.3513
128,2023-05-09,AT5X5K,1551.0,2000,2630.0,2125.0,A,AT,,,Dhaka,0.0,7.1,46.0,33.5,no_event,,,106.6515
129,2023-05-10,AT5X5K,1853.0,3500,1140.0,963.0,A,AT,,,Dhaka,0.0,8.9,57.0,32.0,no_event,,,105.8035
130,2023-05-11,AT5X5K,1382.0,2000,4683.0,3953.0,A,AT,,,Dhaka,0.0,9.4,57.0,32.0,no_event,,,105.7034
131,2023-05-12,AT5X5K,0.0,1500,1070.0,827.0,A,AT,,,Dhaka,0.0,0.8,59.0,31.3,no_event,,,105.8205
132,2023-05-13,AT5X5K,0.0,1200,700.0,439.24,A,AT,,,Dhaka,0.0,0.0,60.0,31.2,no_event,,,105.407
133,2023-05-14,AT5X5K,1803.0,1000,662.0,818.0,A,AT,,,Dhaka,0.0,0.0,53.0,28.3,no_event,,,
134,2023-05-15,AT5X5K,756.0,1000,1692.0,2258.0,A,AT,,,Dhaka,0.0,8.8,56.0,29.6,no_event,,,106.2693
135,2023-05-16,AT5X5K,1186.0,1000,860.0,875.0,A,AT,,,Dhaka,0.0,6.4,65.0,28.8,no_event,,,105.7544
136,2023-05-17,AT5X5K,887.2,500,1680.0,1505.0,A,AT,,,Dhaka,3.0,4.3,71.0,26.4,no_event,,,105.7121
137,2023-05-18,AT5X5K,1107.0,500,610.0,777.2,A,AT,,,Dhaka,50.0,4.8,75.0,26.5,no_event,,,105.6764
138,2023-05-19,AT5X5K,0.0,500,1450.0,1032.0,A,AT,,,Dhaka,4.0,3.1,76.0,29.6,no_event,,,105.6562
139,2023-05-20,AT5X5K,10.0,300,487.0,1209.0,A,AT,,,Dhaka,0.0,9.6,65.0,30.5,no_event,,,105.3633
140,2023-05-21,AT5X5K,673.0,300,105.0,183.0,A,AT,,,Dhaka,0.0,5.6,74.0,29.1,no_event,,,
141,2023-05-22,AT5X5K,826.0,200,400.0,505.0,A,AT,,,Dhaka,27.0,9.3,71.0,30.7,no_event,,,105.6305
142,2023-05-23,AT5X5K,181.0,500,826.0,706.0,A,AT,,,Dhaka,0.0,2.7,82.0,26.7,no_event,,,106.5807
143,2023-05-24,AT5X5K,487.0,0,180.0,331.0,A,AT,,,Dhaka,29.0,4.0,75.0,27.0,no_event,,,105.4201
144,2023-05-25,AT5X5K,1005.0,300,400.0,235.0,A,AT,,,Dhaka,0.0,4.1,72.0,29.0,no_event,,,105.5002
145,2023-05-26,AT5X5K,0.0,500,1090.0,770.0,A,AT,,,Dhaka,0.0,8.6,65.0,29.5,no_event,,,105.5296
146,2023-05-27,AT5X5K,295.0,500,480.0,480.0,A,AT,,,Dhaka,1.0,3.5,79.0,26.6,no_event,,,
147,2023-05-28,AT5X5K,754.0,700,0.0,230.0,A,AT,,,Dhaka,9.0,8.0,66.0,29.8,no_event,,,105.7382
148,2023-05-29,AT5X5K,540.0,800,700.0,929.0,A,AT,,,Dhaka,0.0,8.5,59.0,31.6,no_event,,,105.5303
149,2023-05-30,AT5X5K,480.0,800,20.0,330.0,A,AT,,,Dhaka,0.0,8.7,57.0,32.2,no_event,,,105.5882
150,2023-05-31,AT5X5K,14.6,500,510.0,460.0,A,AT,,,Dhaka,0.0,9.1,55.0,33.7,no_event,,,105.5174
151,2023-06-01,AT5X5K,240.0,58,170.0,120.0,A,AT,,,Dhaka,0.0,6.8,67.0,33.1,no_event,,,105.5535
152,2023-06-02,AT5X5K,0.0,500,0.0,180.0,A,AT,,,Dhaka,0.0,8.3,65.0,32.9,no_event,,,105.623
153,2023-06-03,AT5X5K,50.0,0,0.0,16.0,A,AT,,,Dhaka,0.0,8.5,65.0,32.9,no_event,,,106.0085
154,2023-06-04,AT5X5K,516.0,500,103.0,180.0,A,AT,,,Dhaka,0.0,7.3,65.0,33.1,no_event,,,
155,2023-06-05,AT5X5K,231.0,700,370.0,305.0,A,AT,,,Dhaka,0.0,9.1,59.0,33.7,no_event,,,105.8621
156,2023-06-06,AT5X5K,565.0,0,260.0,248.0,A,AT,,,Dhaka,0.0,6.8,63.0,33.7,no_event,,,106.3148
157,2023-06-07,AT5X5K,1217.0,0,0.0,544.0,A,AT,,,Dhaka,0.0,0.8,65.0,33.5,no_event,,,106.2481
158,2023-06-08,AT5X5K,1105.0,0,0.0,1151.0,A,AT,,,Dhaka,0.0,0.0,78.0,30.0,no_event,,,106.5712
159,2023-06-09,AT5X5K,0.0,500,0.0,770.0,A,AT,,,Dhaka,2.0,0.0,90.0,27.0,no_event,,,106.5218
160,2023-06-10,AT5X5K,0.0,1000,464.0,383.0,A,AT,,,Dhaka,47.0,0.1,84.0,28.2,no_event,,,106.5441
161,2023-06-11,AT5X5K,296.0,700,10.0,70.0,A,AT,,,Dhaka,1.0,0.0,79.0,28.9,no_event,,,106.5441
162,2023-06-12,AT5X5K,405.0,500,80.0,426.0,A,AT,,,Dhaka,0.0,0.0,87.0,27.0,no_event,,,106.6901
163,2023-06-13,AT5X5K,35.0,0,95.0,226.0,A,AT,,,Dhaka,39.0,9.5,75.0,30.6,no_event,,,106.7324
164,2023-06-14,AT5X5K,1005.0,0,20.0,245.0,A,AT,,,Dhaka,0.0,5.0,73.0,32.3,no_event,,,107.6494
165,2023-06-15,AT5X5K,1189.0,0,630.0,547.0,A,AT,,,Dhaka,0.0,2.0,77.0,31.1,no_event,,,106.6621
166,2023-06-16,AT5X5K,0.0,2000,0.0,503.0,A,AT,,,Dhaka,0.0,4.4,80.0,31.0,no_event,,,106.5133
167,2023-06-17,AT5X5K,55.0,200,785.0,858.0,A,AT,,,Dhaka,36.0,5.8,76.0,30.3,no_event,,,
168,2023-06-18,AT5X5K,823.0,200,134.0,220.0,A,AT,,,Dhaka,42.0,0.7,86.0,28.9,no_event,,,106.4065
169,2023-06-19,AT5X5K,1062.0,480,390.0,721.8,A,AT,,,Dhaka,3.0,2.2,82.0,29.3,no_event,,,106.5827
170,2023-06-20,AT5X5K,700.0,700,590.0,766.0,A,AT,,,Dhaka,3.0,2.0,84.0,28.6,no_event,,,106.5557
171,2023-06-21,AT5X5K,725.0,700,852.0,758.0,A,AT,,,Dhaka,5.0,3.4,77.0,30.7,no_event,,,106.5342
172,2023-06-22,AT5X5K,998.0,500,1140.0,732.0,A,AT,,,Dhaka,0.0,0.0,77.0,29.9,no_event,,,106.5483
173,2023-06-23,AT5X5K,0.0,800,0.0,698.0,A,AT,,,Dhaka,0.0,5.7,76.0,30.3,no_event,,,106.5277
174,2023-06-24,AT5X5K,7.0,500,620.0,455.0,A,AT,,,Dhaka,14.0,5.4,74.0,30.2,no_event,,,105.8662
175,2023-06-25,AT5X5K,716.0,700,380.0,254.0,A,AT,,,Dhaka,0.0,5.8,71.0,30.3,no_event,,,
176,2023-06-26,AT5X5K,723.0,0,210.0,690.0,A,AT,,,Dhaka,1.0,1.3,79.0,28.7,no_event,,,106.5327
177,2023-06-27,AT5X5K,114.0,0,0.0,470.0,A,AT,National Holiday,Eid-ul-Azha,Dhaka,4.0,0.0,88.0,27.4,religious_holiday,Nationwide,340.0,106.5997
178,2023-06-28,AT5X5K,0.0,0,0.0,0.0,A,AT,National Holiday,Eid-ul-Azha,Dhaka,15.0,0.0,95.0,26.1,religious_holiday,Nationwide,340.0,106.6024
179,2023-06-29,AT5X5K,0.0,0,0.0,0.0,A,AT,National Holiday,Eid-ul-Azha,Dhaka,115.0,0.0,94.0,26.5,religious_holiday,Nationwide,340.0,106.5186
180,2023-06-30,AT5X5K,0.0,0,0.0,0.0,A,AT,National Holiday,Eid-ul-Azha,Dhaka,36.0,2.8,91.0,27.3,no_event,,,106.5275
181,2023-07-01,AT5X5K,0.0,0,0.0,0.0,A,AT,Not a National Holiday,Bank Holiday,Dhaka,91.0,9.6,93.0,26.9,bank_holiday,Nationwide,373.0,
182,2023-07-02,AT5X5K,700.0,0,280.0,94.0,A,AT,,,Dhaka,80.0,6.9,89.0,29.2,no_event,,,105.836
183,2023-07-03,AT5X5K,1531.0,400,160.0,282.0,A,AT,,,Dhaka,10.0,6.7,83.0,30.1,no_event,,,106.4642
184,2023-07-04,AT5X5K,928.0,800,1500.0,1429.0,A,AT,,,Dhaka,2.0,3.3,71.0,31.6,no_event,,,106.7448
185,2023-07-05,AT5X5K,403.0,1500,985.0,840.0010000000001,A,AT,,,Dhaka,1.0,0.9,75.0,30.6,no_event,,,106.7586
186,2023-07-06,AT5X5K,1248.0,1500,500.0,220.999,A,AT,,,Dhaka,3.0,5.0,81.0,29.2,no_event,,,106.9975
187,2023-07-07,AT5X5K,0.0,1000,730.0,494.0,A,AT,,,Dhaka,11.0,5.2,81.0,29.5,no_event,,,106.9941
