Source,Target,Weight,abs_weight,Lag,relationship_type,source_index,target_index,influences_target,influenced_by_target,strength_category
Sales_causal_weighted_sum,Factory_Issue_lag1_x_Sales_causal,856.7826312694381,856.7826312694381,1,lagged_1,17,33,False,False,very_strong
Temperature_x_Humidity_causal,BDT_USD_lag1_x_Sales_causal,852.2948950259106,852.2948950259106,1,lagged_1,9,30,False,False,very_strong
Factory_Issue_x_Production_causal,Production_lag1_x_Sales_causal,803.8712815856679,803.8712815856679,1,lagged_1,13,32,False,False,very_strong
Sales_causal_weighted_sum,Sales,776.8712228258063,776.8712228258063,1,lagged_1,17,0,True,False,very_strong
BDT_USD,Sales_causal_weighted_sum,-755.1112936448857,755.1112936448857,1,lagged_1,8,17,False,False,very_strong
Humidity,Sales_causal_weighted_sum,708.745857068289,708.745857068289,0,contemporaneous,6,17,False,False,very_strong
Factory_Issue_x_Delivery_causal,Sales,693.4128930973382,693.4128930973382,1,lagged_1,12,0,True,False,very_strong
Rainfall_x_Sunshine_causal,Sunshine_lag1_x_Sales_causal,-667.5159755063071,667.5159755063071,1,lagged_1,15,29,False,False,very_strong
Rainfall_lag1_x_Sunshine_causal,Sunshine_lag1_x_Sales_causal,-636.9644561770006,636.9644561770006,1,lagged_1,35,29,False,False,very_strong
Factory_Issue,Factory_Issue_to_Production_ratio_causal,-633.2933062800333,633.2933062800333,1,lagged_1,2,22,False,False,very_strong
Sunshine,doy,627.7852355462942,627.7852355462942,1,lagged_1,5,42,False,False,very_strong
Temperature_x_Humidity_causal,Sunshine_lag1_x_Sales_causal,627.4927116553683,627.4927116553683,1,lagged_1,9,29,False,False,very_strong
month,BDT_USD_lag1_x_Sales_causal,614.4865415690333,614.4865415690333,1,lagged_1,40,30,False,False,very_strong
Rainfall,iso_week,-591.2479045828046,591.2479045828046,1,lagged_1,4,43,False,False,very_strong
Rainfall_to_BDT_USD_ratio_causal,Temperature_lag1_x_Sales_causal,561.7007585204904,561.7007585204904,1,lagged_1,25,31,False,False,very_strong
Humidity_x_Sunshine_causal,Sunshine_lag1_x_Sales_causal,-551.5186108003569,551.5186108003569,1,lagged_1,10,29,False,False,very_strong
Rainfall_lag1_x_Sunshine_causal,Temperature_lag1_x_Sales_causal,-551.3144611706965,551.3144611706965,1,lagged_1,35,31,False,False,very_strong
Delivery_x_Production_causal,Sales,-502.029757346719,502.029757346719,1,lagged_1,14,0,True,False,very_strong
month,Humidity_lag1_x_Sales_causal,-491.53575450131996,491.53575450131996,1,lagged_1,40,28,False,False,very_strong
Factory_Issue_x_Production_causal,BDT_USD_lag1_x_Sales_causal,491.16891939690026,491.16891939690026,1,lagged_1,13,30,False,False,very_strong
Humidity_lag1_x_Sunshine_causal,Humidity_lag1_x_Sales_causal,488.93762469316465,488.93762469316465,1,lagged_1,34,28,False,False,very_strong
Rainfall_x_BDT_USD_causal,Sunshine_lag1_x_Sales_causal,-487.2657575069519,487.2657575069519,1,lagged_1,16,29,False,False,very_strong
Delivery_x_Production_causal,Delivery_lag1_x_Sales_causal,483.04978649279786,483.04978649279786,1,lagged_1,14,26,False,False,very_strong
Factory_Issue_x_Production_causal,Delivery_lag1_x_Sales_causal,-477.2866108741324,477.2866108741324,1,lagged_1,13,26,False,False,very_strong
Delivery_x_Production_causal,Production_lag1_x_Sales_causal,475.7067478769201,475.7067478769201,1,lagged_1,14,32,False,False,very_strong
Delivery,dow_sin,468.4019556243614,468.4019556243614,1,lagged_1,3,44,False,False,very_strong
BDT_USD,doy,-464.33768505737635,464.33768505737635,1,lagged_1,8,42,False,False,very_strong
Delivery,dow_cos,457.39479941870457,457.39479941870457,1,lagged_1,3,45,False,False,very_strong
Temperature_x_Sunshine_causal,Humidity_lag1_x_Sales_causal,-441.47920704888884,441.47920704888884,1,lagged_1,11,28,False,False,very_strong
Temperature_x_Sunshine_causal,Temperature_lag1_x_Sales_causal,440.8347240269713,440.8347240269713,1,lagged_1,11,31,False,False,very_strong
Rainfall_x_Sunshine_causal,Sales,431.3967111362037,431.3967111362037,1,lagged_1,15,0,True,False,very_strong
Factory_Issue_x_Production_causal,Humidity_lag1_x_Sales_causal,-431.0464741471774,431.0464741471774,1,lagged_1,13,28,False,False,very_strong
Factory_Issue_x_Production_causal,Factory_Issue_lag1_x_Sales_causal,-426.7967944405555,426.7967944405555,1,lagged_1,13,33,False,False,very_strong
Sunshine,Sales_causal_weighted_sum,422.375910988926,422.375910988926,0,contemporaneous,5,17,False,False,very_strong
Temperature,doy,416.5502269435024,416.5502269435024,1,lagged_1,7,42,False,False,very_strong
BDT_USD,Sales_causal_weighted_sum,-412.6444665799685,412.6444665799685,0,contemporaneous,8,17,False,False,very_strong
Rainfall_lag1_x_BDT_USD_causal,Temperature_lag1_x_Sales_causal,404.9917237007438,404.9917237007438,1,lagged_1,36,31,False,False,very_strong
Humidity,iso_week,403.9931670899464,403.9931670899464,1,lagged_1,6,43,False,False,very_strong
Temperature_x_Sunshine_causal,Sales,397.88979202186164,397.88979202186164,1,lagged_1,11,0,True,False,very_strong
Temperature_x_Humidity_causal,Temperature_lag1_x_Sales_causal,377.7052658972827,377.7052658972827,1,lagged_1,9,31,False,False,very_strong
Rainfall_to_BDT_USD_ratio_causal,Sunshine_lag1_x_Sales_causal,-363.7901395795364,363.7901395795364,1,lagged_1,25,29,False,False,very_strong
Rainfall_lag1_x_Sunshine_causal,BDT_USD_lag1_x_Sales_causal,-353.2560365229004,353.2560365229004,1,lagged_1,35,30,False,False,very_strong
Rainfall_x_Sunshine_causal,Temperature_lag1_x_Sales_causal,347.5763034504525,347.5763034504525,1,lagged_1,15,31,False,False,very_strong
Production,Delivery_to_Production_ratio_causal,342.73419392805863,342.73419392805863,1,lagged_1,1,23,False,False,very_strong
Rainfall_x_Sunshine_causal,Rainfall_lag1_x_Sales_causal,333.3366417336653,333.3366417336653,1,lagged_1,15,27,False,False,very_strong
Rainfall,dow_sin,311.5521253280746,311.5521253280746,1,lagged_1,4,44,False,False,very_strong
Delivery,Humidity_to_Sunshine_ratio_causal,-310.9806383991873,310.9806383991873,1,lagged_1,3,19,False,False,very_strong
is_weekend,BDT_USD_lag1_x_Sales_causal,307.92653435639556,307.92653435639556,1,lagged_1,38,30,False,False,very_strong
Rainfall,dow_cos,305.6973344688623,305.6973344688623,1,lagged_1,4,45,False,False,very_strong
Rainfall_x_BDT_USD_causal,Rainfall_lag1_x_Sales_causal,300.3861484570402,300.3861484570402,1,lagged_1,16,27,False,False,very_strong
Rainfall_x_Sunshine_causal,Humidity_lag1_x_Sales_causal,-290.6631431418129,290.6631431418129,1,lagged_1,15,28,False,False,very_strong
Humidity_lag1_x_Sunshine_causal,Sales,-287.53522946232215,287.53522946232215,1,lagged_1,34,0,True,False,very_strong
Rainfall_lag1_x_Sunshine_causal,Humidity_lag1_x_Sales_causal,-284.8294929249743,284.8294929249743,1,lagged_1,35,28,False,False,very_strong
Factory_Issue_x_Production_causal,Sunshine_lag1_x_Sales_causal,-281.7894254136772,281.7894254136772,1,lagged_1,13,29,False,False,very_strong
Temperature_x_Humidity_causal,Factory_Issue_lag1_x_Sales_causal,-278.01203447705853,278.01203447705853,1,lagged_1,9,33,False,False,very_strong
month,Sales_causal_weighted_sum,271.86139713663925,271.86139713663925,0,contemporaneous,40,17,False,False,very_strong
month,Sales_causal_weighted_sum,-270.97493388436334,270.97493388436334,1,lagged_1,40,17,False,False,very_strong
Delivery,BDT_USD,269.71946180180737,269.71946180180737,1,lagged_1,3,8,False,False,very_strong
month,Sunshine_lag1_x_Sales_causal,265.2586157525487,265.2586157525487,1,lagged_1,40,29,False,False,very_strong
Temperature_x_Humidity_causal,Rainfall_lag1_x_Sales_causal,264.9554732705034,264.9554732705034,1,lagged_1,9,27,False,False,very_strong
Sunshine,iso_week,263.7472378264409,263.7472378264409,1,lagged_1,5,43,False,False,very_strong
Humidity_x_Sunshine_causal,Temperature_lag1_x_Sales_causal,241.63948406320853,241.63948406320853,1,lagged_1,10,31,False,False,very_strong
Factory_Issue_x_Delivery_causal,BDT_USD_lag1_x_Sales_causal,-240.66747800448937,240.66747800448937,1,lagged_1,12,30,False,False,very_strong
Delivery,Temperature_to_Humidity_ratio_causal,-227.9794036172886,227.9794036172886,1,lagged_1,3,18,False,False,very_strong
dow_cos,Sunshine_lag1_x_Sales_causal,227.9267726671845,227.9267726671845,1,lagged_1,45,29,False,False,very_strong
Rainfall_lag1_x_Sunshine_causal,Sales,227.51241691557914,227.51241691557914,1,lagged_1,35,0,True,False,very_strong
Humidity,dow_sin,-212.07133746277492,212.07133746277492,1,lagged_1,6,44,False,False,very_strong
Humidity,dow_cos,-207.07258391822972,207.07258391822972,1,lagged_1,6,45,False,False,very_strong
Humidity_x_Sunshine_causal,Humidity_lag1_x_Sales_causal,-206.31975614749535,206.31975614749535,1,lagged_1,10,28,False,False,very_strong
Rainfall,Humidity_to_Sunshine_ratio_causal,-206.02784135158532,206.02784135158532,1,lagged_1,4,19,False,False,very_strong
Humidity_x_Sunshine_causal,Sales_causal_weighted_sum,204.2560918879436,204.2560918879436,0,contemporaneous,10,17,False,False,very_strong
BDT_USD,iso_week,-195.70768150655218,195.70768150655218,1,lagged_1,8,43,False,False,very_strong
Humidity_lag1_x_Sunshine_causal,Temperature_lag1_x_Sales_causal,-195.68383192406674,195.68383192406674,1,lagged_1,34,31,False,False,very_strong
Temperature_x_Sunshine_causal,Sales_causal_weighted_sum,190.72394376455253,190.72394376455253,0,contemporaneous,11,17,False,False,very_strong
Temperature_x_Sunshine_causal,Sales_causal_weighted_sum,-188.39648447990146,188.39648447990146,1,lagged_1,11,17,False,False,very_strong
Humidity_x_Sunshine_causal,BDT_USD_lag1_x_Sales_causal,184.0895397422278,184.0895397422278,1,lagged_1,10,30,False,False,very_strong
Sales_causal_weighted_sum,Factory_Issue_to_Production_ratio_causal,182.9921741292916,182.9921741292916,1,lagged_1,17,22,False,False,very_strong
Delivery,is_weekend,-182.81875418173075,182.81875418173075,1,lagged_1,3,38,False,False,very_strong
Rainfall,BDT_USD,178.3830910791253,178.3830910791253,1,lagged_1,4,8,False,False,very_strong
Production,Temperature_to_Sunshine_ratio_causal,-177.32312910650924,177.32312910650924,1,lagged_1,1,20,False,False,very_strong
